epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7886,1.31338,2.96913,2.15473,1.38935,0,0.773,0.41043,0.58728,0.41038,0.74898,0.39913,0.5686,0.36612,0.94572,2.27406,2.07714,1.04014,0,0.000546704,0.000546704,0.000546704
2,61.0987,1.07752,2.03474,1.37713,1.18789,0,0.76865,0.63109,0.6821,0.47684,0.80073,0.58705,0.65419,0.46096,1.01707,2.25699,1.39991,1.16253,0,0.00109136,0.00109136,0.00109136
3,90.7796,1.04431,1.94741,1.25164,1.18297,0,0.83777,0.69133,0.74431,0.54012,0.81584,0.6789,0.72268,0.50597,0.90743,2.02599,1.2297,1.06821,0,0.00162491,0.00162491,0.00162491
4,117.166,1.02689,1.87195,1.16302,1.15719,0,0.77473,0.66321,0.70059,0.48768,0.78736,0.67256,0.70815,0.48319,0.98585,1.93262,1.08286,1.12991,0,0.00161704,0.00161704,0.00161704
5,144.986,0.99561,1.82359,1.08533,1.14921,0,0.85036,0.67109,0.72233,0.51219,0.84345,0.67113,0.70665,0.4889,1.00311,2.02006,1.14447,1.18459,0,0.00160039,0.00160039,0.00160039
6,172.865,0.97113,1.79774,1.0434,1.12463,0,0.83672,0.66845,0.73775,0.53341,0.88176,0.61553,0.7116,0.48578,0.8352,2.04816,1.01232,1.04165,0,0.00158373,0.00158373,0.00158373
7,199.872,0.94001,1.72775,0.97987,1.12609,0,0.82737,0.71258,0.74903,0.54237,0.83748,0.67553,0.73284,0.51062,0.88271,1.84774,0.92992,1.09672,0,0.00156708,0.00156708,0.00156708
8,225.348,0.91459,1.68241,0.95302,1.10352,0,0.88375,0.71689,0.76611,0.56853,0.88086,0.71045,0.76187,0.52166,0.80159,1.73481,0.8903,1.02757,0,0.00155043,0.00155043,0.00155043
9,252.421,0.91196,1.66659,0.95002,1.11539,0,0.86989,0.68238,0.76659,0.58672,0.82268,0.72489,0.77317,0.55677,0.76688,1.59074,0.78926,1.01517,0,0.00153377,0.00153377,0.00153377
10,279.108,0.90314,1.66833,0.90585,1.10687,0,0.87504,0.70278,0.7716,0.5792,0.8612,0.69149,0.75628,0.5571,0.7956,1.59296,0.7862,1.03795,0,0.00151712,0.00151712,0.00151712
